Speaker,Text,Tag
SPEAKER_01,So he was fixing a bike.,STATEMENT
SPEAKER_00,He was fixing a bike.,REPEAT-PHRASE
SPEAKER_01,He was.,REPEAT-PHRASE
SPEAKER_00,Yep.,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,"Well, it was the inner tube, I think it's called, of the wheel, I think.",STATEMENT
SPEAKER_01,And he looked like he knew what he was doing.,STATEMENT
SPEAKER_01,There was a lot of tools around.,STATEMENT
SPEAKER_01,I don't know if you could see.,HEDGE
SPEAKER_01,"It was like, oh, yeah, so what did you see?",OPEN-QUESTION
SPEAKER_01,From what perspective?,WH-QUESTION
SPEAKER_00,"So I noticed that he had, I suppose, like tool shelves.",STATEMENT
SPEAKER_00,So I noticed he had socket wrenches.,STATEMENT
SPEAKER_00,"There was a blue thing I recognized, but I couldn't remember the name of, that was underneath that.",STATEMENT
SPEAKER_00,"And then he also had, I guess, a couple of shelves of pliers and wire cutters and nippers.",STATEMENT
SPEAKER_00,"And then I noticed he had an Irwin clamp, which was clamped on the side of his workbench.",STATEMENT
SPEAKER_00,and he had cable ties on his workbench um and also i remember his outfit he was wearing like a khaki shirt with like sort of cream shorts and sandals ,STATEMENT
SPEAKER_01,yes the sandals ,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,like i'm like that's a bit of a workplace hazard ,OPINION
SPEAKER_01,yes i could see his toes yeah it wasn't nice yeah,STATEMENT
SPEAKER_00,And I also seen a bunch of the other bike mounts as well.,STATEMENT
SPEAKER_00,"So he was working with a bike mount and a pump, obviously.",STATEMENT
SPEAKER_00,There was a few in the background as well.,STATEMENT
SPEAKER_00,And there was also another guy in the background just kind of watching occasionally.,STATEMENT
SPEAKER_00,He turned up about halfway through and he's just like chilling in the background.,STATEMENT
SPEAKER_01,I didn't see the other guy.,STATEMENT
SPEAKER_01,There was a load of bikes up against the wall.,STATEMENT
SPEAKER_00,"Yeah, like to the left of the video.",STATEMENT
SPEAKER_00,"Yeah, there was a bunch of bikes.",STATEMENT
SPEAKER_01,So clearly,STATEMENT
SPEAKER_01,"This is like, I imagine this guy's a pro.",OPINION
SPEAKER_01,Yeah.,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,Probably knows what he's doing.,STATEMENT
SPEAKER_00,Probably has a bike shop.,STATEMENT
SPEAKER_00,Yes.,YES ANSWERS
SPEAKER_01,"But it didn't look very clean, though.",STATEMENT
SPEAKER_00,"No, it was very disorganized.",AGREEMENT/ACCEPT
SPEAKER_00,There was tools all over his workbench.,STATEMENT
SPEAKER_00,And I know that's how it tends to be when you're working in the middle of something.,STATEMENT
SPEAKER_00,But it was pretty messy.,STATEMENT
SPEAKER_00,"So, yeah, yeah, quite a busy scene, quite a busy scene.",SUMMARIZE/REFORMULATE
SPEAKER_01,"I mean, he had this kind of, I don't know, yellow tool, like, really special, specialised, I think, that could get the wheel off of the thing.",STATEMENT
SPEAKER_00,Yeah.,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,"Yeah, I couldn't tell you what that was.",STATEMENT
SPEAKER_00,"I don't know what that was, but...",STATEMENT
SPEAKER_01,"But it was quite cool, because it kind of just got it right off the actual, the metal, the metal on the wheel.",STATEMENT
SPEAKER_00,Yeah.,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,um yeah yeah we should just write some of this down so i'll write down some of the things i've seen so tool bench and then i suppose i'm just going to do it like sub menus like some sub bullet points i suppose um so i've seen the um,STATEMENT
SPEAKER_00,"Yeah, the irwin thing.",STATEMENT
SPEAKER_00,"Yeah, clamp.",STATEMENT
SPEAKER_00,I'm trying to think of a bloody word.,SELF-TALK
SPEAKER_00,Cable ties.,STATEMENT
SPEAKER_00,And we noticed that the man in his outfit.,STATEMENT
SPEAKER_01,Yes.,YES ANSWERS
SPEAKER_01,Yeah.,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,Man.,SELF-TALK
SPEAKER_00,"So, outfit.",ABANDONED/UNINTERPRETABLE
SPEAKER_00,And...,ABANDONED/UNINTERPRETABLE
SPEAKER_01,So what was the other guy?,OPEN-QUESTION
SPEAKER_00,The other guy?,REPEAT-PHRASE
SPEAKER_01,Did you see the other guy?,YES-NO-QUESTION
SPEAKER_00,"Yeah, he wasn't doing anything.",STATEMENT
SPEAKER_00,"He was kind of like, so in the back, sort of to the right of the video, right at the back, you kind of just seen this guy kind of watching what he was doing.",STATEMENT
SPEAKER_01,Okay.,RESPONSE ACKNOWLEDGMENT
SPEAKER_01,So do you think he worked there or?,DECLARATIVE YES-NO-QUESTION
SPEAKER_00,"Potentially, maybe he was overseeing.",MAYBE/ACCEPT-PART
SPEAKER_00,"So, you know, watching what he was doing, watching other guy.",STATEMENT
